aback	AH B AE K
accost	AH K AO S T
accosted	AH K AA S T AH D
accosting	AH K AA S T IH NG
account	AH K AW N T
accounts	AH K AW N T S
accredit	AH K R EH D AH T
accredited	AH K R EH D IH T IH D
accrediting	AH K R EH D AH T IH NG
accreted	AH K R IY T IH D
accrue	AH K R UW
accrued	AH K R UW D
accrues	AH K R UW Z
accruing	AH K R UW IH NG
accumulate	AH K Y UW M Y AH L EY T
accumulated	AH K Y UW M Y AH L EY T IH D
accumulates	AH K Y UW M Y AH L EY T S
accumulating	AH K Y UW M Y AH L EY T IH NG
accumulative	AH K Y UW M Y AH L EY T IH V
accurate	AE K Y ER AH T
accurately	AE K Y ER AH T L IY
accusative	AH K Y UW Z AH T IH V
accusatory	AH K Y UW Z AH T AO R IY
accuse	AH K Y UW Z
accused	AH K Y UW Z D
accuses	AH K Y UW Z IH Z
accusing	AH K Y UW Z IH NG
accusingly	AH K Y UW Z IH NG L IY
accustom	AH K AH S T AH M
accustomed	AH K AH S T AH M D
ace	EY S
aced	EY S T
acerbic	AH S EH R B IH K
aces	EY S IH Z
achaean	AH CH IY AH N
ache	EY K
ached	EY K T
aches	EY K S
achievable	AH CH IY V AH B AH L
achieve	AH CH IY V
achieved	AH CH IY V D
achieves	AH CH IY V Z
achieving	AH CH IY V IH NG
aching	EY K IH NG
achy	EY K IY
acid	AE S AH D
acidic	AH S IH D IH K
acidified	AH S IH D AH F AY D
acidifies	AH S IH D AH F AY Z
acidify	AH S IH D AH F AY
acoustic	AH K UW S T IH K
acoustical	AH K UW S T IH K AH L
acoustically	AH K UW S T IH K L IY
acquaint	AH K W EY N T
acquiesce	AE K W IY EH S
acquiesced	AE K W IY EH S T
acquiescing	AE K W IY EH S IH NG
acquire	AH K W AY ER
acquired	AH K W AY ER D
acquires	AH K W AY ER Z
acquisitive	AH K W IH Z AH T IH V
acquit	AH K W IH T
acquits	AH K W IH T S
acquitting	AH K W IH T IH NG
acrid	AE K R IH D
acrimonious	AE K R AH M OW N IY AH S
acrobatic	AE K R AH B AE T IH K
across	AH K R AO S
act	AE K T
acting	AE K T IH NG
action	AE K SH AH N
actionable	AE K SH AH N AH B AH L
actions	AE K SH AH N Z
activate	AE K T AH V EY T
activates	AE K T AH V EY T S
activating	AE K T AH V EY T IH NG
active	AE K T IH V
actively	AE K T IH V L IY
actualize	AE K CH AH W AH L AY Z
actuarial	AE K CH AH W EH R IY AH L
actuate	AE K CH UW W EY T
acute	AH K Y UW T
acutely	AH K Y UW T L IY
ad	AE D
adagio	AH D AA ZH IY OW
adamant	AE D AH M AH N T
adamantly	AE D AH M AH N T L IY
adapt	AH D AE P T
adaptable	AH D AE P T AH B AH L
adapting	AH D AE P T IH NG
adaptive	AH D AE P T IH V
adapts	AH D AE P T S
add	AE D
addicting	AH D IH K T IH NG
addictive	AH D IH K T IH V
adding	AE D IH NG
addle	AE D AH L
addled	AE D AH L D
addressable	AH D R EH S AH B AH L
addressed	AH D R EH S T
addressing	AH D R EH S IH NG
adds	AE D Z
adduct	AE D AH K T
adenoid	AE D AH N OY D
adept	AH D EH P T
adhere	AH D HH IH R
adhered	AE D HH IH R D
adherent	AH D HH IH R AH N T
adheres	AH D HH IH R Z
adhering	AH D HH IH R IH NG
adipose	AE D AH P OW S
adjacent	AH JH EY S AH N T
adjective	AE JH IH K T IH V
adjoin	AH JH OY N
adjoining	AH JH OY N IH NG
adjoins	AH JH OY N Z
adjourn	AH JH ER N
adjourned	AH JH ER N D
adjourning	AH JH ER N IH NG
adjourns	AH JH ER N Z
adjudge	AH JH AH JH
adjudged	AH JH AH JH D
adjudicate	AH JH UW D IH K EY T
adjudicated	AH JH UW D AH K EY T IH D
adjudicating	AH JH UW D IH K EY T IH NG
adjunct	AE JH AH NG K T
adjust	AH JH AH S T
adjustable	AH JH AH S T AH B AH L
adjusting	AH JH AH S T IH NG
administer	AH D M IH N AH S T ER
administered	AH D M IH N AH S T ER D
administering	AE D M IH N IH S T ER IH NG
administers	AE D M IH N IH S T ER Z
administrate	AE D M IH N IH S T R EY T
administrating	AH D M IH N AH S T R EY T IH NG
administrative	AH D M IH N AH S T R EY T IH V
administratively	AE D M IH N AH S T R EY T IH V L IY
admirably	AE D M ER AH B L IY
admire	AE D M AY R
admired	AH D M AY ER D
admires	AE D M AY R Z
admiring	AE D M AY R IH NG
admiringly	AE D M AY R IH NG L IY
admissible	AH D M IH S AH B AH L
admit	AH D M IH T
admits	AH D M IH T S
admitted	AH D M IH T AH D
admittedly	AE D M IH T IH D L IY
admonish	AE D M AA N IH SH
admonished	AH D M AA N IH SH T
admonishes	AE D M AA N IH SH IH Z
admonishing	AE D M AA N IH SH IH NG
adopt	AH D AA P T
adoptable	AH D AA P T AH B AH L
adopted	AH D AA P T AH D
adopting	AH D AA P T IH NG
adoptive	AH D AA P T IH V
adopts	AH D AA P T S
adorable	AH D AO R AH B AH L
adore	AH D AO R
adored	AH D AO R D
adorees	AE D ER IY Z
adores	AH D AO R Z
adoring	AH D AO R IH NG
adorn	AH D AO R N
adorned	AH D AO R N D
adorning	AH D AO R N IH NG
adorns	AH D AO R N Z
adrenal	AH D R IY N AH L
adrift	AH D R IH F T
adroit	AH D R OY T
adroitly	AH D R OY T L IY
adulate	AE JH AH L EY T
adulterate	AH D AH L T ER EY T
adulterated	AH D AH L T ER EY T IH D
adulterates	AH D AH L T ER EY T S
adulterer	AH D AH L T ER ER
adulterous	AH D AH L T ER AH S
advance	AH D V AE N S
advanced	AH D V AE N S T
advancer	AH D V AE N S ER
advancing	AH D V AE N S IH NG
advantageous	AE D V AH N T EY JH AH S
adverbial	AE D V ER B IY AH L
adversely	AE D V ER S L IY
advertise	AE D V ER T AY Z
advertises	AE D V ER T AY Z IH Z
advertising	AE D V ER T AY Z IH NG
advisable	AH D V AY Z AH B AH L
advises	AE D V AY Z IH Z
advising	AE D V AY Z IH NG
advocating	AE D V AH K EY T IH NG
aegean	IH JH IY AH N
aerial	EH R IY AH L
aerobic	EH R OW B IH K
aerodynamic	EH R OW D AY N AE M IH K
aeronautic	EH R OW N AA T AH K
aesthetic	EH S TH EH T IH K
aesthetically	EH S TH EH T IH K L IY
afar	AH F AA R
affable	AE F AH B AH L
affably	AE F AH B L IY
affect	AH F EH K T
affecting	AH F EH K T IH NG
affectionately	AH F EH K SH AH N AH T L IY
affective	AH F EH K T IH V
affects	AH F EH K T S
afferent	AE F ER AH N T
affiliating	AH F IH L IY EY T IH NG
affine	AH F AY N
affined	AH F AY N D
affirm	AH F ER M
affirmative	AH F ER M AH T IH V
affirmatively	AH F ER M AH T IH V L IY
affirmed	AH F ER M D
affirming	AH F ER M IH NG
affirms	AH F ER M Z
affixed	AH F IH K S T
affixing	AH F IH K S IH NG
afflict	AH F L IH K T
afflicting	AH F L IH K T IH NG
afflicts	AH F L IH K T S
affluent	AE F L UW AH N T
afford	AH F AO R D
affordable	AH F AO R D AH B AH L
afforded	AH F AO R D AH D
affording	AH F AO R D IH NG
affords	AH F AO R D Z
affront	AH F R AH N T
affronted	AH F R AH N T IH D
affronting	AH F R AH N T IH NG
affronts	AH F R AH N T S
afghan	AE F G AE N
afghani	AE F G AA N IY
afield	AH F IY L D
afire	AH F AY R
aflame	AH F L EY M
afloat	AH F L OW T
aflutter	AH F L AH T ER
afoot	AH F UH T
aforementioned	AH F AO R M EH N SH AH N D
aforesaid	AH F AO R S EH D
aforethought	AH F AO R TH AA T
afoul	AH F AW L
afraid	AH F R EY D
afresh	AH F R EH SH
afrikaans	AE F R AH K AA N Z
afrikaner	AE F R AH K AA N ER
aft	AE F T
after	AE F T ER
afterward	AE F T ER W ER D
afterwards	AE F T ER W ER D Z
agape	AH G EY P
age	EY JH
ageless	EY JH L AH S
agglomerate	AH G L AA M ER EY T
agglutinate	AH G L UW T IH N EY T
aggrandize	AH G R AE N D AY Z
aggravate	AE G R AH V EY T
aggravates	AE G R AH V EY T S
aggravating	AE G R AH V EY T IH NG
aggregated	AE G R AH G EY T AH D
aggress	AH G R EH S
aggressive	AH G R EH S IH V
aggressively	AH G R EH S IH V L IY
aggrieve	AH G R IY V
aggrieved	AH G R IY V D
aghast	AH G AE S T
agile	AE JH AH L
aging	EY JH IH NG
agitate	AE JH AH T EY T
agitated	AE JH AH T EY T AH D
agitating	AE JH AH T EY T IH NG
agleam	AH G L IY M
aglitter	AH G L IH T ER
aglow	AH G L OW
agnostic	AE G N AA S T IH K
ago	AH G OW
agog	AH G AA G
agonize	AE G AH N AY Z
agonized	AE G AH N AY Z D
agonizes	AE G AH N AY Z IH Z
agonizing	AE G AH N AY Z IH NG
agonizingly	AE G AH N AY Z IH NG L IY
agrarian	AH G R EH R IY AH N
agree	AH G R IY
agreeable	AH G R IY AH B AH L
agreed	AH G R IY D
agreeing	AH G R IY IH NG
agrees	AH G R IY Z
aground	AH G R AW N D
ahead	AH HH EH D
aid	EY D
aides	EY D Z
aiding	EY D IH NG
aids	EY D Z
ail	EY L
ailing	EY L IH NG
ails	EY L Z
aim	EY M
aimed	EY M D
aiming	EY M IH NG
aimless	EY M L AH S
aimlessly	EY M L AH S L IY
aims	EY M Z
air	EH R
airborne	EH R B AO R N
aired	EH R D
aires	EH R IY Z
airfreight	EH R F R EY T
airing	EH R IH NG
airless	EH R L AH S
airlift	EH R L IH F T
airlifted	EH R L IH F T IH D
airlifting	EH R L IH F T IH NG
airlifts	EH R L IH F T S
airmail	EH R M EY L
airs	EH R Z
airtight	EH R T AY T
airworthy	EH R W ER DH IY
airy	EH R IY
ajar	AH JH AA R
akimbo	AH K IH M B OW
alabaster	AE L AH B AE S T ER
alar	EY L AA R
alarm	AH L AA R M
alarmed	AH L AA R M D
alarming	AH L AA R M IH NG
alarmingly	AH L AA R M IH NG L IY
alarms	AH L AA R M Z
alas	AH L AE S
alaskan	AH L AE S K AH N
albanian	AE L B EY N IY AH N
alcoholic	AE L K AH HH AA L IH K
aleatory	EY L IY AH T AO R IY
alert	AH L ER T
alerted	AH L ER T IH D
alerting	AH L ER T IH NG
alertly	AH L ER T L IY
alerts	AH L ER T S
aleutian	AH L UW SH AH N
algal	AE L G AH L
algebraic	AE L JH AH B R EY IH K
algebraically	AE L JH AH B R EY IH K L IY
algerian	AE L JH IH R IY AH N
algonquian	AE L G AA NG K IY AH N
algonquin	AE L G AA NG K W IH N
alias	EY L IY AH S
alibi	AE L AH B AY
alibis	AE L AH B AY Z
alien	EY L IY AH N
alienate	EY L Y AH N EY T
alienates	EY L IY AH N EY T S
alienating	EY L IY AH N EY T IH NG
aliens	EY L IY AH N Z
alight	AH L AY T
align	AH L AY N
aligned	AH L AY N D
aligning	AH L AY N IH NG
aligns	AH L AY N Z
alike	AH L AY K
alimentary	AE L AH M EH N T ER IY
aline	AH L AY N
alines	AH L AY N Z
alive	AH L AY V
alkaline	AE L K AH L AY N
alkaloidal	AE L K AH L OY D AH L
all	AO L
allay	AH L EY
allayed	AH L EY D
allaying	AH L EY IH NG
allays	AH L EY Z
allege	AH L EH JH
alleged	AH L EH JH D
allegedly	AH L EH JH AH D L IY
alleging	AH L EH JH IH NG
allegorical	AE L AH G AO R AH K AH L
allegro	AH L EH G R OW
allelic	AH L EH L IH K
aller	AO L ER
allergic	AH L ER JH IH K
alleviate	AH L IY V IY EY T
alleviates	AH L IY V IY EY T S
alleviating	AH L IY V IY EY T IH NG
alligator	AE L AH G EY T ER
alligators	AE L AH G EY T ER Z
allocate	AE L AH K EY T
allocated	AE L AH K EY T IH D
allocates	AE L AH K EY T S
allocating	AE L AH K EY T IH NG
allophonic	AE L AH F AA N IH K
allot	AH L AA T
alloted	AH L AA T IH D
allots	AH L AA T S
allotted	AH L AA T IH D
allotting	AH L AA T IH NG
allow	AH L AW
allowable	AH L AW AH B AH L
allowance	AH L AW AH N S
allowances	AH L AW AH N S IH Z
allowed	AH L AW D
allowing	AH L AW IH NG
allows	AH L AW Z
alloy	AE L OY
alloys	AE L OY Z
allude	AH L UW D
alluded	AH L UW D AH D
alludes	AH L UW D Z
alluding	AH L UW D IH NG
allure	AH L UH R
allured	AH L UH R D
alluring	AH L UH R IH NG
allusive	AH L UW S IH V
alluvial	AE L UW V IY AH L
allys	AE L AY Z
almighty	AO L M AY T IY
almost	AO L M OW S T
aloft	AH L AO F T
alone	AH L OW N
along	AH L AO NG
alongside	AH L AO NG S AY D
aloof	AH L UW F
aloud	AH L AW D
alpha	AE L F AH
alphabetic	AE L F AH B EH T IH K
alphabetical	AE L F AH B EH T IH K AH L
alphabetically	AE L F AH B EH T IH K L IY
alphabetize	AE L F AH B AH T AY Z
alphabetized	AE L F AH B AH T AY Z D
alphabetizes	AE L F AH B AH T AY Z IH Z
alphabetizing	AE L F AH B AH T AY Z IH NG
alphanumeric	AE L F AH N UW M EH R IH K
alpine	AE L P AY N
alright	AO L R AY T
alsatian	AE L S EY SH AH N
also	AO L S OW
altaic	AE L T EY IH K
alter	AO L T ER
altered	AO L T ER D
altering	AO L T ER IH NG
alternated	AO L T ER N EY T AH D
alternately	AO L T ER N AH T L IY
alternates	AO L T ER N EY T S
alternating	AO L T ER N EY T IH NG
alternative	AO L T ER N AH T IH V
alternatively	AO L T ER N AH T IH V L IY
alters	AO L T ER Z
alto	AE L T OW
altogether	AO L T AH G EH DH ER
altruistic	AO L T R UW IH S T IH K
aluminize	AH L UW M AH N AY Z
aluminized	AH L UW M AH N AY Z D
alveolar	AE L V IY AH L ER
amalgamate	AH M AE L G AH M EY T
amalgamated	AH M AE L G AH M EY T IH D
amalgamates	AH M AE L G AH M EY T S
amalgamating	AH M AE L G AH M EY T IH NG
amass	AH M AE S
amassed	AH M AE S T
amasses	AH M AE S IH Z
amassing	AH M AE S IH NG
amateurish	AE M AH CH ER IH SH
amaze	AH M EY Z
amazed	AH M EY Z D
amazes	AH M EY Z IH Z
amazing	AH M EY Z IH NG
amazingly	AH M EY Z IH NG L IY
ambassadorial	AE M B AE S AH D AO R IY AH L
amber	AE M B ER
ambient	AE M B IY AH N T
ambiguous	AE M B IH G Y UW AH S
ambition	AE M B IH SH AH N
ambitions	AE M B IH SH AH N Z
ambitious	AE M B IH SH AH S
ambitiously	AE M B IH SH AH S L IY
ambivalent	AE M B IH V AH L AH N T
amble	AE M B AH L
ambled	AE M B AH L D
ambles	AE M B AH L Z
ambrosial	AE M B R OW ZH AH L
ambrosian	AE M B R OW Z AH N
ambulatory	AE M B Y AH L AH T AO R IY
ambush	AE M B UH SH
ambushed	AE M B UH SH T
ambushes	AE M B UH SH IH Z
ambushing	AE M B UH SH IH NG
ameliorate	AH M IY L Y ER EY T
amend	AH M EH N D
amendable	AH M EH N D AH B AH L
amending	AH M EH N D IH NG
amends	AH M EH N D Z
americanize	AH M EH R AH K AH N AY Z
americanized	AH M EH R IH K AH N AY Z D
amethyst	AE M IH TH IH S T
amiable	EY M IY AH B AH L
amiably	EY M IY AH B L IY
amicable	AE M IH K AH B AH L
amicably	AE M IH K AH B L IY
amidships	AH M IH D SH IH P S
amino	AH M IY N OW
amiss	AH M IH S
amnesiac	AE M N IY Z IY AE K
amnesties	AE M N AH S T IY Z
amnesty	AE M N AH S T IY
amniotic	AE M N IY AO T IH K
amoebic	AH M IY B IH K
amok	AH M AH K
amorous	AE M ER AH S
amorphous	AH M AO R F AH S
amortize	AE M ER T AY Z
amortized	AE M ER T AY Z D
amortizing	AE M ER T AY Z IH NG
amount	AH M AW N T
amounts	AH M AW N T S
amphibian	AE M F IH B IY AH N
amphibious	AE M F IH B IY AH S
ample	AE M P AH L
amplified	AE M P L AH F AY D
amplifies	AE M P L AH F AY Z
amplify	AE M P L AH F AY
amplifying	AE M P L AH F AY IH NG
amply	AE M P L IY
amputate	AE M P Y AH T EY T
amputated	AE M P Y AH T EY T IH D
amuck	AH M AH K
amuse	AH M Y UW Z
amused	AH M Y UW Z D
amuses	AH M Y UW Z IH Z
amusing	AH M Y UW Z IH NG
amusingly	AH M Y UW Z IH NG L IY
amyloid	AE M IH L OY D
anabolic	AE N AH B AA L IH K
anachronistic	AH N AE K R AH N IH S T IH K
anaerobic	AE N ER OW B IH K
anagram	AE N AH G R AE M
anal	EY N AH L
analgesic	AE N AH L JH IY S IH K
analog	AE N AH L AO G
analogous	AH N AE L AH G AH S
analogue	AE N AH L AO G
analyses	AH N AE L AH S IY Z
analytic	AE N AH L IH T IH K
analytical	AE N AH L IH T IH K AH L
analytically	AE N AH L IH T IH K L IY
analyzable	AE N AH L AY Z AH B AH L
analyze	AE N AH L AY Z
analyzed	AE N AH L AY Z D
analyzes	AE N AH L AY Z IH Z
analyzing	AE N AH L AY Z IH NG
anarchic	AE N AA R K IH K
anarchical	AE N AA R K AH K AH L
anatomically	AE N AH T AA M AH K L IY
ancestral	AE N S EH S T R AH L
anchor	AE NG K ER
anchored	AE NG K ER D
anchoring	AE NG K ER IH NG
anchors	AE NG K ER Z
ancillary	AE N S AH L EH R IY
andalusian	AE N D AH L UW SH AH N
andante	AA N D AA N T EY
andantino	AA N D AA N T IY N OW
andean	AE N D IY AH N
androgynous	AE N D R AO JH AH N AH S
anemic	AH N IY M IH K
anesthetic	AE N AH S TH EH T IH K
angelic	AE N JH EH L IH K
angelically	AE N JH EH L IH K L IY
anger	AE NG G ER
angered	AE NG G ER D
angering	AE NG G ER IH NG
angers	AE NG G ER Z
angle	AE NG G AH L
angled	AE NG G AH L D
angles	AE NG G AH L Z
anglican	AE NG G L AH K AH N
anglicize	AE NG L IH S AY Z
anglicized	AE NG L IH S AY Z D
angling	AE NG G L IH NG
angolan	AE NG G OW L AH N
angrier	AE NG G R IY ER
angriest	AE NG G R IY AH S T
angrily	AE NG G R AH L IY
angry	AE NG G R IY
anguish	AE NG G W IH SH
anguished	AE NG G W IH SH T
anguishing	AE NG G W IH SH IH NG
angular	AE NG G Y AH L ER
angulate	AE NG G Y UW L EY T
angulated	AE NG G Y UW L EY T IH D
animal	AE N AH M AH L
animist	AE N AH M AH S T
anneal	AH N IY L
annealing	AH N IY L IH NG
annelid	AE N AH L IH D
annexes	AE N EH K S IH Z
annexing	AH N EH K S IH NG
annihilate	AH N AY AH L EY T
annihilated	AH N AY AH L EY T IH D
annihilating	AH N AY AH L EY T IH NG
annotate	AE N AH T EY T
announce	AH N AW N S
announced	AH N AW N S T
announces	AH N AW N S IH Z
announcing	AH N AW N S IH NG
annoy	AH N OY
annoyed	AH N OY D
annoying	AH N OY IH NG
annoys	AH N OY Z
annual	AE N Y UW AH L
annually	AE N Y UW AH L IY
annul	AE N AH L
annular	AE N Y AH L ER
annulled	AE N AH L D
anoint	AH N OY N T
anomalous	AH N AA M AH L AH S
anonymous	AH N AA N AH M AH S
anonymously	AH N AA N AH M AH S L IY
anorexic	AE N ER EH K S IH K
another	AH N AH DH ER
answer	AE N S ER
answerable	AE N S ER AH B AH L
answered	AE N S ER D
answering	AE N S ER IH NG
answers	AE N S ER Z
antacid	AE N T AE S AH D
antagonistic	AE N T AE G AH N IH S T IH K
antagonize	AE N T AE G AH N AY Z
antagonized	AE N T AE G AH N AY Z D
antagonizing	AE N T AE G AH N AY Z IH NG
ante	AE N T IY
antebellum	AE N T IH B EH L AH M
antemeridian	AE N T AH M EH R IH D IY AH N
antemortem	AE N T AH M AO R T AH M
anterior	AE N T IH R IY ER
antes	AE N T IY Z
anthropocentric	AE N TH R AH P AH S EH N T R IH K
anthropogenic	AE N TH R AH P AH JH EH N IH K
anthropological	AE N TH R AH P AH L AA JH AH K AH L
anthropomorphic	AE N TH R AH P AH M AO R F IH K
antiaircraft	AE N T AY EH R K R AE F T
antibacterial	AE N T IY B AE K T IH R IY AH L
antic	AE N T IH K
anticipate	AE N T IH S AH P EY T
anticipates	AE N T IH S AH P EY T S
anticipating	AE N T IH S AH P EY T IH NG
anticipatory	AE N T IH S AH P AH T AO R IY
anticlimactic	AE N T IY K L AY M AE K T IH K
antics	AE N T IH K S
antiknock	AE N T IY N AA K
antipodal	AE N T IH P AH D AH L
antiquate	AE N T AH K W EY T
antique	AE N T IY K
antiques	AE N T IY K S
antiseptic	AE N T AH S EH P T IH K
antitank	AE N T IY T AE NG K
antithetical	AE N T AH TH EH T IH K AH L
antitrust	AE N T AY T R AH S T
antiviral	AE N T IY V AY R AH L
antlered	AE N T L ER D
antsy	AE N T S IY
anxiously	AE NG K SH AH S L IY
any	EH N IY
anyhow	EH N IY HH AW
anymore	EH N IY M AO R
anyplace	EH N IY P L EY S
anyway	EH N IY W EY
anyways	EH N IY W EY Z
aortic	EY AO R T IH K
apace	AH P EY S
apart	AH P AA R T
apathetic	AE P AH TH EH T IH K
ape	EY P
apelike	EY P L AY K
apes	EY P S
aphrodisiac	AE F R OW D IY Z IY AE K
apiece	AH P IY S
aping	EY P IH NG
apocalyptic	AH P AA K AH L IH P T IH K
apocryphal	AH P AA K R AH F AH L
apolitical	EY P AH L IH T IH K AH L
apologetic	AH P AA L AH JH EH T IH K
apologetically	AH P AA L AH JH EH T IH K L IY
apologize	AH P AA L AH JH AY Z
apologized	AH P AA L AH JH AY Z D
apologizes	AH P AA L AH JH AY Z IH Z
apologizing	AH P AA L AH JH AY Z IH NG
apoplectic	AE P AH P L EH K T IH K
apostate	AH P AO S T EY T
appall	AH P AO L
appalled	AH P AO L D
appalling	AH P AO L IH NG
appallingly	AH P AO L IH NG L IY
appalls	AH P AO L Z
apparent	AH P EH R AH N T
apparently	AH P EH R AH N T L IY
appeal	AH P IY L
appealable	AH P IY L AH B AH L
appealed	AH P IY L D
appealing	AH P IY L IH NG
appealingly	AH P IY L IH NG L IY
appeals	AH P IY L Z
appear	AH P IH R
appeared	AH P IH R D
appearing	AH P IH R IH NG
appears	AH P IH R Z
appease	AH P IY Z
appeased	AH P IY Z D
appeasing	AH P IY Z IH NG
append	AH P EH N D
appended	AH P EH N D IH D
appetizing	AE P IH T AY Z IH NG
applaud	AH P L AO D
applauding	AH P L AO D IH NG
applauds	AH P L AO D Z
applicable	AE P L AH K AH B AH L
applied	AH P L AY D
applies	AH P L AY Z
apply	AH P L AY
applying	AH P L AY IH NG
appoint	AH P OY N T
appointing	AH P OY N T IH NG
appointive	AH P OY N T IH V
appoints	AH P OY N T S
apportion	AH P AO R SH AH N
apportioned	AH P AO R SH AH N D
apportioning	AH P AO R SH AH N IH NG
appraise	AH P R EY Z
appraised	AH P R EY Z D
appraises	AH P R EY Z IH Z
appraising	AH P R EY Z IH NG
appreciable	AH P R IY SH AH B AH L
appreciably	AH P R IY SH AH B L IY
appreciate	AH P R IY SH IY EY T
appreciated	AH P R IY SH IY EY T IH D
appreciates	AH P R IY SH IY EY T S
appreciating	AH P R IY SH IY EY T IH NG
apprehend	AE P R IH HH EH N D
apprehended	AE P R IH HH EH N D AH D
apprehending	AE P R IH HH EH N D IH NG
apprenticed	AH P R EH N T AH S T
apprentices	AH P R EH N T AH S IH Z
apprise	AH P R AY Z
apprised	AH P R AY Z D
approach	AH P R OW CH
